puhoc ,prefLabel ,samenew ,sameold 
http://www.yso.fi/onto/puho/ph0 ,kokoonpano ,http://www.yso.fi/onto/yso/p14500 ,http://www.yso.fi/onto/yso/p14500 
http://www.yso.fi/onto/puho/ph101 ,taktiikka ,http://www.yso.fi/onto/yso/p4631 ,http://www.yso.fi/onto/yso/p4631 
http://www.yso.fi/onto/puho/ph1016 ,kapinat ,http://www.yso.fi/onto/yso/p9852 ,http://www.yso.fi/onto/yso/p9852 
http://www.yso.fi/onto/puho/ph1031 ,museotoimi ,http://www.yso.fi/onto/yso/p13978 ,http://www.yso.fi/onto/yso/p13978 
http://www.yso.fi/onto/puho/ph1091 ,tutkijakoulutus ,http://www.yso.fi/onto/yso/p11515 ,http://www.yso.fi/onto/yso/p11515 
http://www.yso.fi/onto/puho/ph1106 ,hyrrät ,http://www.yso.fi/onto/yso/p24197 ,http://www.yso.fi/onto/yso/p24197 
http://www.yso.fi/onto/puho/ph115 ,sillanrakennus ,http://www.yso.fi/onto/yso/p15307 ,http://www.yso.fi/onto/yso/p15307 
http://www.yso.fi/onto/puho/ph1196 ,häirintä ,http://www.yso.fi/onto/yso/p11442 ,http://www.yso.fi/onto/yso/p11442 
http://www.yso.fi/onto/puho/ph1274 ,perustaminen ,http://www.yso.fi/onto/yso/p11600 ,http://www.yso.fi/onto/yso/p11600 
http://www.yso.fi/onto/puho/ph1457 ,puolustus ,http://www.yso.fi/onto/yso/p4552 ,http://www.yso.fi/onto/yso/p4552 
http://www.yso.fi/onto/puho/ph1490 ,todentaminen ,http://www.yso.fi/onto/yso/p24130 ,http://www.yso.fi/onto/yso/p24130 
http://www.yso.fi/onto/puho/ph1496 ,syvyys ,http://www.yso.fi/onto/yso/p12459 ,http://www.yso.fi/onto/yso/p12459 
http://www.yso.fi/onto/puho/ph1512 ,koululaivat ,http://www.yso.fi/onto/yso/p19274 ,http://www.yso.fi/onto/yso/p19274 
http://www.yso.fi/onto/puho/ph1535 ,hyökkäys ,http://www.yso.fi/onto/yso/p45 ,http://www.yso.fi/onto/yso/p45 
http://www.yso.fi/onto/puho/ph1567 ,johtajakoulutus ,http://www.yso.fi/onto/yso/p13582 ,http://www.yso.fi/onto/yso/p13582 
http://www.yso.fi/onto/puho/ph1580 ,katamaraanit ,http://www.yso.fi/onto/yso/p25998 ,http://www.yso.fi/onto/yso/p25998 
http://www.yso.fi/onto/puho/ph1621 ,kosketus ,http://www.yso.fi/onto/yso/p1964 ,http://www.yso.fi/onto/yso/p1964 
http://www.yso.fi/onto/puho/ph164 ,operaatiot ,http://www.yso.fi/onto/yso/p25097 ,http://www.yso.fi/onto/yso/p25097 
http://www.yso.fi/onto/puho/ph1672 ,rakenteet ,http://www.yso.fi/onto/yso/p994 ,http://www.yso.fi/onto/yso/p994 
http://www.yso.fi/onto/puho/ph1709 ,toksiinit ,http://www.yso.fi/onto/yso/p10863 ,http://www.yso.fi/onto/yso/p10863 
http://www.yso.fi/onto/puho/ph1724 ,suojautuminen ,http://www.yso.fi/onto/yso/p19440 ,http://www.yso.fi/onto/yso/p19440 
http://www.yso.fi/onto/puho/ph1938 ,pesulat ,http://www.yso.fi/onto/yso/p4232 ,http://www.yso.fi/onto/yso/p4232 
http://www.yso.fi/onto/puho/ph1965 ,yhtymät ,http://www.yso.fi/onto/yso/p3772 ,http://www.yso.fi/onto/yso/p3772 
http://www.yso.fi/onto/puho/ph262 ,eheys ,http://www.yso.fi/onto/yso/p24123 ,http://www.yso.fi/onto/yso/p24123 
http://www.yso.fi/onto/puho/ph326 ,rauha ,http://www.yso.fi/onto/yso/p7957 ,http://www.yso.fi/onto/yso/p7957 
http://www.yso.fi/onto/puho/ph346 ,sorto ,http://www.yso.fi/onto/yso/p6304 ,http://www.yso.fi/onto/yso/p6304 
http://www.yso.fi/onto/puho/ph348 ,joukkotuho ,http://www.yso.fi/onto/yso/p4075 ,http://www.yso.fi/onto/yso/p4075 
http://www.yso.fi/onto/puho/ph36 ,vastaanottimet ,http://www.yso.fi/onto/yso/p23987 ,http://www.yso.fi/onto/yso/p23987 
http://www.yso.fi/onto/puho/ph419 ,ryhmät ,http://www.yso.fi/onto/yso/p1127 ,http://www.yso.fi/onto/yso/p1127 
http://www.yso.fi/onto/puho/ph464 ,saarto ,http://www.yso.fi/onto/yso/p3852 ,http://www.yso.fi/onto/yso/p3852 
http://www.yso.fi/onto/puho/ph48 ,lennokit ,http://www.yso.fi/onto/yso/p8578 ,http://www.yso.fi/onto/yso/p8578 
http://www.yso.fi/onto/puho/ph483 ,syövyttävät aineet ,http://www.yso.fi/onto/yso/p5094 ,http://www.yso.fi/onto/yso/p5094 
http://www.yso.fi/onto/puho/ph505 ,liikuntakasvatus ,http://www.yso.fi/onto/yso/p15764 ,http://www.yso.fi/onto/yso/p15764 
http://www.yso.fi/onto/puho/ph514 ,liikkuvuus ,http://www.yso.fi/onto/yso/p252 ,http://www.yso.fi/onto/yso/p252 
http://www.yso.fi/onto/puho/ph515 ,tienrakennus ,http://www.yso.fi/onto/yso/p6522 ,http://www.yso.fi/onto/yso/p6522 
http://www.yso.fi/onto/puho/ph542 ,harhauttaminen ,http://www.yso.fi/onto/yso/p22925 ,http://www.yso.fi/onto/yso/p22925 
http://www.yso.fi/onto/puho/ph571 ,tilannekuva ,http://www.yso.fi/onto/yso/p25187 ,http://www.yso.fi/onto/yso/p25187 
http://www.yso.fi/onto/puho/ph633 ,naamiointi ,http://www.yso.fi/onto/yso/p30 ,http://www.yso.fi/onto/yso/p30 
http://www.yso.fi/onto/puho/ph654 ,naisjärjestöt ,http://www.yso.fi/onto/yso/p5114 ,http://www.yso.fi/onto/yso/p5114 
http://www.yso.fi/onto/puho/ph657 ,logistiikka ,http://www.yso.fi/onto/yso/p9140 ,http://www.yso.fi/onto/yso/p9140 
http://www.yso.fi/onto/puho/ph783 ,kodinturvajoukot ,http://www.yso.fi/onto/yso/p25184 ,http://www.yso.fi/onto/yso/p25184 
http://www.yso.fi/onto/puho/ph8 ,kokonaismaanpuolustus ,http://www.yso.fi/onto/yso/p24532 ,http://www.yso.fi/onto/yso/p24532 
http://www.yso.fi/onto/puho/ph85 ,soihdut ,http://www.yso.fi/onto/yso/p26055 ,http://www.yso.fi/onto/yso/p26055 
http://www.yso.fi/onto/puho/ph899 ,vyöt ,http://www.yso.fi/onto/yso/p19474 ,http://www.yso.fi/onto/yso/p19474 
http://www.yso.fi/onto/puho/ph938 ,hävittäminen ,http://www.yso.fi/onto/yso/p19462 ,http://www.yso.fi/onto/yso/p19462 
http://www.yso.fi/onto/puho/ph96 ,marssit ,http://www.yso.fi/onto/yso/p16228 ,http://www.yso.fi/onto/yso/p16228 
